asus,Core i7-1355U,Iris Xe,16,15.6,41700000
asus,Core i7-1355U,Iris Xe,16,15.6,43400000
asus,Core i9-13980HX,GeForce RTX 4060,32,16,131969000
asus,Core i5-1335U,Iris Xe,16,16,50698000
Microsoft,Core i7-1255U,Iris Xe Graphics,16,13,78500000
Lenovo,Core i7-14650HX,GeForce RTX 4050,16,16,89800000
Apple,M2,10,16,13.6,68480000
Lenovo,Core i5-13420H,GeForce RTX 3050,8,15.6,63900000
Dell,Core i3-1215U,UHD Graphics,8,15.6,27199000
HP,Core i5-13420H,GeForce RTX 3050,32,15.6,63450000
asus,Core i7-12700H,GeForce RTX 3050,16,15.6,67700000
Lenovo,Core i7-13650HX,GeForce RTX 3050,16,15.6,64900000
Acer,Core Ultra 7 155H,Arc,32,14,129969000
asus,Core i5-1335U,Iris Xe,16,15.6,35700000
asus,Core Ultra 7 155H,GeForce RTX 3050,16,15.6,68000000
Acer,Core i7-13620H,GeForce RTX 4050,16,15.6,66469000
Acer,Core i5-13420H,GeForce RTX 3050,16,15.6,52500000
asus,AMD Ryzen 7 8840HS,AMD Radeon 780M,16,14,73999000
Lenovo,Core i5-12450H,GeForce RTX 2050,16,15.6,49000000
Microsoft,Snapdragon X Elite,Adreno,32,13,164399000
asus,Core i7-13620H,GeForce RTX 4070,16,17.3,82000000
asus,Core i7-13650HX,GeForce RTX 4060,16,16,93969000
Acer,Core i9-14900HX,GeForce RTX 4060,16,16,98197000
asus,Snapdragon X Elite,Adreno,32,15.6,77390000
asus,Core i7-1355U,Iris Xe,16,15.6,41400000
asus,Core i7-13620H,GeForce RTX 4060,16,16,99400000
asus,Core i7-12700H,GeForce RTX 3050,16,15.6,67400000
asus,Core i7-13620H,GeForce RTX 4050,16,15.6,75850000
MSI,Core i7-13620H,GeForce RTX 4060,16,15.6,78500000
Lenovo,Celeron N4020,UHD 600,4,15.6,16690000
asus,Core i7-13650HX,GeForce RTX 4050,16,16,83469000
asus,Core i7-13620H,GeForce RTX 4070,16,15.6,85399000
Microsoft,Core i7-13700H,GeForce RTX 4050,16,14.4,152869000
asus,Celeron N4020,UHD Graphics 600,4,15.6,15100000
HP,AMD Ryzen 7 7736U,AMD Radeon 680M,16,14,62000000
Acer,Core i5-13420H,GeForce RTX 3050,8,15.6,51500000
Lenovo,Core i7-13700H,Iris Xe,8,16,51969000
MSI,Core i7-13620H,GeForce RTX 3050,16,15.6,62000000
Lenovo,Core i5-13420H,UHD Graphics Xe,8,15.6,32398000
asus,Core i5-12500H,GeForce RTX 3050,16,17.3,61550000
Lenovo,Core i3-1305U,UHD Graphics,8,15.6,25990000
Lenovo,Core i7-13700H,Iris Xe,16,16,55469000
asus,Core i7-13620H,GeForce RTX 4060,16,15.6,81199000
MSI,Core i7-13700H,GeForce RTX 3050,16,15.6,61900000
asus,Core i7-12700H,GeForce RTX 3050,16,15.6,70500000
asus,Core i3-1215U,UHD Graphics,12,15.6,26270000
HP,AMD Athlon Silver 7120U,AMD Radeon 610M,8,15.6,20900000
asus,Core i7-13650HX,GeForce RTX 4050,16,16,92469000
Lenovo,Core i7-14650HX,GeForce RTX 4060,16,16,97500000
Lenovo,Core i7-12650H,GeForce RTX 3050,32,15.6,68000000
asus,Core i7-12700H,GeForce RTX 4070,16,15.6,92000000
Lenovo,Core i5-1235U,Iris Xe,8,15.6,33900000
Apple,M3,10,16,13.6,79999000
Acer,Core i7-13620H,GeForce RTX 3050,16,15.6,63997000
Apple,M3  8,10,8,14.2,115969000
Lenovo,Core i7-14650HX,GeForce RTX 4060,32,16,110000000
HP,Core i5-1335U,Iris Xe,8,14,53000000
asus,Core i7-13650HX,GeForce RTX 4060,32,16,108399000
asus,Core i5-1235U,Iris Xe Graphics,8,15.6,31970000
MSI,Core i5-13420H,GeForce RTX 2050,16,15.6,51900000
asus,Core i5-1335U,Iris Xe,16,15.6,32500000
asus,Core i5-1235U,Iris Xe,16,15.6,37969000
asus,Core i7-13650HX,GeForce RTX 4060,32,16,104000000
